i_iso3,j_iso3,q025,q500,q975
KOR,BRA,1.7419286808974337,1.9702430578388768,2.1912056734348146
MEX,BRA,2.6511355143107402,2.934306029531049,3.1624650086864126
MYSG,BRA,2.4603835180612954,2.7367987860406133,3.1270903714126783
NZL,BRA,3.5982058979382265,3.9198812624684236,4.218762811585066
PER,BRA,3.1159694226450076,3.4884957691377187,3.947621169725855
PHL,BRA,4.749959897321764,5.368702211774564,6.106741380274553
POL,BRA,3.7379423874904543,4.082251648180533,4.4026566845012205
PRT,BRA,2.6429069347605756,2.922855988357666,3.1783279213792834
ROU,BRA,3.9461657231998446,4.376608130877331,4.717230941039361
RoW,BRA,1.837316959176276,2.0031708843670275,2.1674079969381577
RUS,BRA,3.0322208874018806,3.2954860326634554,3.683762109480469
SVK,BRA,3.1666884700465054,3.537366226211633,3.861926632320042
SVN,BRA,3.5513555110314536,3.889420902154643,4.278918464837723
SWE,BRA,1.9755062863130162,2.1500801171720454,2.3401311744588753
THA,BRA,3.4938533120604345,3.9001652523817842,4.386936929028815
TUR,BRA,3.0231113787090917,3.3116641583127775,3.6715135820531586
USA,BRA,1.9046876469951353,2.0633923684730258,2.2175505734774767
VNM,BRA,4.426789415548537,5.023534476660558,5.740386882315707
ZAF,BRA,3.1364392181022627,3.4197029146510882,3.849212451807279
AUS,CAN,2.0356771926888175,2.1787881176098605,2.2914230206716986
AUT,CAN,2.4725291451837004,2.636574394531112,2.8318897199666155
BGR,CAN,4.644259483364653,5.019996770029202,5.370685435566504
BNL,CAN,1.814518419140816,2.014692778077648,2.1951661109538723
BRA,CAN,2.3313509586123464,2.510989396192654,2.772004267757251
CHL,CAN,2.8293127043673154,2.971505221949316,3.2118298217648613
CHN,CAN,2.0854997950836003,2.3112815333558783,2.526254450346938
COL,CAN,3.620290704343881,3.9966648747352584,4.289654093247943
CYP,CAN,4.531581387978169,5.051422683748232,5.496333034674473
CZE,CAN,3.5081829585638107,3.722345159697374,3.979446948246135
DEU,CAN,1.9510704822515392,2.1002403576503106,2.2267382062019436
DNK,CAN,2.151907371658799,2.310030659612248,2.46591114614958
ELL,CAN,3.0387831649614494,3.242668885398861,3.445957012500659
ESP,CAN,2.810520202821456,2.9802200058530817,3.168757416642726
FIN,CAN,2.416945366424002,2.5508415977702024,2.7306273359898894
FRA,CAN,2.2041292765646836,2.3410754316977687,2.4655811142398596
GBR,CAN,2.1658931749460164,2.339340893786681,2.4605927775681575
GRC,CAN,3.2962933902248253,3.526318687517192,3.7904753532995517
HUN,CAN,3.675338879777531,3.940700087944096,4.2522009185651575
IDN,CAN,3.7480804722992573,4.190544663202561,4.7250877717194335
IND,CAN,4.587386414937672,5.188135983995661,5.970249419142763
IRL,CAN,2.6088700020225826,2.7721369356135015,2.9445402371752527
ISR,CAN,2.5468872364212602,2.743538874999799,2.9773660077434494
ITA,CAN,2.198637975877988,2.3482551432413596,2.4787091206784657
JPN,CAN,1.4776319318861488,1.6345425481754328,1.7943973622007219
KOR,CAN,2.146757859709627,2.380661328525095,2.618392532464314
MEX,CAN,2.3914825372254045,2.561797884194882,2.703466594150184
MYSG,CAN,2.6864822531758645,2.9841752304907967,3.357805289263
NZL,CAN,2.7658346552808992,2.9308372754621375,3.138201035194127
PER,CAN,2.9934653316832307,3.2214624407982555,3.5629330107672175
PHL,CAN,4.620394743703422,5.03960166854027,5.6036457032287
POL,CAN,3.6208276845548717,3.8439260544129805,4.129662228487682
PRT,CAN,3.416382566560684,3.626882122248978,3.9047865479139485
ROU,CAN,4.042638995565472,4.332663927893862,4.606372745543778
RoW,CAN,2.0801903387489666,2.2261349240269706,2.3945516287039292
RUS,CAN,3.8886086645553544,4.174018178558396,4.518594492473657
SVK,CAN,3.369718820459674,3.5789792762581096,3.8392212137418062
SVN,CAN,3.6474907528803477,3.943114426022648,4.173768074016217
SWE,CAN,2.155648423573548,2.3180455061702943,2.452950660889446
THA,CAN,3.8112184754106413,4.117031249839018,4.5260743319375605
TUR,CAN,3.23105328323894,3.5265925514487764,3.778499353468025
USA,CAN,1.6505916046291846,1.7181434937212288,1.788594482729031
VNM,CAN,4.398925906126655,4.952906317995847,5.5912469231435775
