i_iso3,j_iso3,year,tau,tauAlt
PER,ISR,2011,5.444420624615038,2.94830813618938
PHL,ISR,2011,5.75534041633163,3.4516495340505204
RoW,ISR,2011,2.145088737873059,1.8051124603279491
RUS,ISR,2011,3.267172706978243,2.3512917145513357
THA,ISR,2011,3.9621656340259688,2.8319581226135835
TUR,ISR,2011,2.4774774596559213,1.8801190248674473
USA,ISR,2011,2.100631145117536,1.7055597398110436
VNM,ISR,2011,5.372502590407831,3.5695580707852925
ZAF,ISR,2011,2.796287277408565,2.033752536934406
AUS,JPN,2011,1.8686201022107962,1.4056779460859588
BRA,JPN,2011,2.7546925275964536,1.8506480394947826
CAN,JPN,2011,2.476991748344688,1.7171257754733174
CHL,JPN,2011,2.9612450903559195,2.0336863522676896
CHN,JPN,2011,2.7366302113720935,2.2515776477760854
COL,JPN,2011,5.539519151766532,3.1483932371112586
EU,JPN,2011,2.3287025652620827,1.7990992556401035
IDN,JPN,2011,3.7592986321864093,2.8380840310546116
IND,JPN,2011,6.2882972977377385,4.298575398829254
ISR,JPN,2011,3.752415813147212,2.2009382783199234
KOR,JPN,2011,2.5793832281326012,1.9620336768288913
MEX,JPN,2011,4.461495667138231,2.913892492985064
MYSG,JPN,2011,3.0094119079036057,2.354566498927508
NZL,JPN,2011,3.2672251692941945,2.044011736341917
PER,JPN,2011,4.329139651753134,2.710802187402619
PHL,JPN,2011,4.999042361750156,3.4875988430720937
RoW,JPN,2011,2.4843332560957756,2.1016562749127616
RUS,JPN,2011,4.016740579350309,2.859057543903948
THA,JPN,2011,4.317379013976386,3.2271509663033204
TUR,JPN,2011,5.412261696067097,3.0552259676917015
USA,JPN,2011,2.758793645061059,2.1377224564877837
VNM,JPN,2011,5.341515041383089,3.889271885108141
ZAF,JPN,2011,3.7989914129745213,2.540432175562052
AUS,KOR,2011,1.270818465545939,0.9651277785054831
BRA,KOR,2011,1.8777238437139376,1.281526459443938
CAN,KOR,2011,1.7100473050680274,1.202064455379822
CHL,KOR,2011,2.141501801676439,1.4893029912329678
CHN,KOR,2011,1.8777102983728533,1.5613411879557617
COL,KOR,2011,3.8257084304844073,2.2060507783617633
EU,KOR,2011,1.538133531663897,1.2237617531839404
IDN,KOR,2011,2.5900502185936976,1.974112883202951
IND,KOR,2011,3.8611732956397247,2.831975154195384
ISR,KOR,2011,2.436664254471994,1.4852945888443176
JPN,KOR,2011,1.1219012888098476,0.9010522838610652
MEX,KOR,2011,2.871290750719495,1.9250005740992402
MYSG,KOR,2011,2.041120706488178,1.6286074832457837
NZL,KOR,2011,2.2578086615056194,1.4259747790311084
PER,KOR,2011,2.7560292313898054,1.8018185813887273
PHL,KOR,2011,3.562620305076501,2.477452251912382
RoW,KOR,2011,1.6180933935537194,1.420943342114505
RUS,KOR,2011,2.588089913950609,1.915346207380421
THA,KOR,2011,3.2897554736942025,2.3642588271079554
TUR,KOR,2011,3.1255770595352454,1.9472141656112945
USA,KOR,2011,1.8238253714199688,1.4556403038268226
VNM,KOR,2011,3.6857049622808407,2.6998437538844047
